Basque (eu),Spanish (es)
"Hala, ikertzeko gure modua aldatu beharrean gaude, integratu egin behar baititugu (maila berean) eragile desberdinak, gizarte zibila, zientzia guztiak (Gizadiaren, gizartearen, osasunaren, ingeniaritzaren… arlokoak badira ere).","Necesitamos cambiar nuestra manera de investigar porque tenemos que integrar (al mismo nivel) diferentes agentes, a la sociedad civil, a todas las ciencias (sean Humanas, sociales, sanitarias, ingenierías, …)."
"Gaur, urriak 7, Txandakako IMH Ingeniaritzako 14. promozioko ikasleek notak jasoko dituzte eta gaur jakin ahal izango dute ea bigarren mailara pasako diren edo ez.","Hoy, 7 de octubre, los alumnos de la 14ª promoción de la Ingeniería IMH en Alternancia recogen las notas y hoy sabrán si pasan al segudno curso o no."
"(Beste leiho bat zabalduko du)Ingeniaritza Elektronikoko Gradua (dokumentoa gaztelaniaz dago) (pdf,590.00 Kb)","(Abre una nueva ventana)Grado en Ingeniería Electrónica (pdf,590,00 Kb)"
Ingeniaritza asteko lantegiak: Fabrikazio digitala eta produktuak diseinatzeko teknologia berriak,Talleres Semana Ingeniería: Fabricación digital y nuevas tecnologías para diseñar productos
Unibertsitate titulu hauetakoren bat duten pertsonentzat: –Industria ingeniaritza.,Estar en posesión de alguno de los siguientes títulos universitarios: –Ingeniero Industrial.
Goi mailako ingeniaritza,Titulación en ingeniería superior
Gaia Ikastaroak Heziketa Zikloak Ingeniaritza Dualaren Eskola Enpresentzako Zerbitzuak Bestelakoak,Tema Cursos Ciclos Formativos Escuela de Ingeniería Dual Servicios a empresas Otros
"Martxoaren 23an Zientzia, teknologia, ingeniaritza eta matematikekin (STEM) lanbidetan jardunean aritzen diren profesionalak neska eta mutilekin bilduko dira gazteak diziplina horietara hurbiltzeko.","+ info 11/03/2019 El 23 de marzo mentoras y mentores STEM pasarán la mañana con chicas y chicos que deseen conocer profesiones relacionadas con la Ciencia, Ingeniería, Tecnología o Matemáticas"
"Hirugarren edizio honen epaimahaia, ACHE-ko ordezkariek eta beste instituzioetako batzuk osatu dute, bestak beste, Madrilgo Unibertsitate Politeknikoko Bideen Ingeniaritza Eskolakoak, A Coruñako Unibertsitateko Bideen Ingeniaritza Eskolakoak, Eduardo Torroja Eraikuntza Zientzien Institutukoak, Bideen Ingeniaritza Eskolakoak eta azkenik, Arkitektoen Goi Kontseilukoak.","El jurado de esta tercera edición contó con representantes de ACHE y de otras instituciones como la Escuela de Ingenieros de Caminos de la Universidad Politécnica de Madrid, la Escuela de Ingenieros de Caminos de la Universidad de La Coruña, el Instituto de Ciencias de la Construcción Eduardo Torroja, el Colegio de Ingenieros de Caminos y por último, el Consejo Superior de Arquitectos."
"Bilboko Ingeniaritza Eskola Komunikazioaren Ingeniaritza saila Bilboko Igeniaritza Eskolan dago kokatua, eta 90 irakasle eta ikertzaile baino gehiago ditu, horietakin 30bat ikertzaile kontratatuak.","Escuela de Ingeniería de Bilbao (Edificio I) El Departamento de Ingeniería de Comunicaciones, situado en la Escuela de Ingeniería de Bilbao, cuenta con un equipo de unos 90 docentes e investigadores, de los cuales unos 30 son investigadores contratados."
"Informatika Ingeniaritzako Graduak aukera ematen dizu curriculuma zure gustuen eta interesen arabera moldatzeko. 3. mailan, informatikako hiru arlo nagusietako bat aukeratu beharko duzu: Konputagailuen Ingeniaritza, Konputazioa, eta Software Ingeniaritza.","Estudiar fuera Courses El Grado en Ingeniería Informática te permite personalizar tu formación, de acuerdo a tus inquietudes particulares, en tres grandes áreas de la informática: Ingeniería de Computadores, Computación, e Ingeniería del Software."
"Doktoretza aurreko IPB beka (Ikertzaileak Prestatzeko Beka) bat jaso du eta, haren bidez, 2012. urtetik dabil lanean NUPeko Ingeniaritza Termikoa eta Jariakinena Ikerketa Taldean.","Ha recibido una beca predoctoral FPI (Formación de Personal Inverstigador), que le permite trabajar, desde 2012, en el Grupo de Investigación de Ingeniería Térmica y de Fluidos de la UPNA."
"Euskal Unibertsitate Publikoko Ingeniaritza Zibileko Graduko azken mailako hogei ikasleek adi jarraitu zituzten Viuda de Sainzek, garai batean CLH zenaren lurretan, burutzen ari den proiektuaren buruzagiek emandako adierazpenak. Proiektu hau beste hirigintza obra konplexu eta anbiziotsuago baten parte da, Santurtzi leheneratu eta portu aurrean zabalgune bat eraikitzean datzana.","Más de una veintena de estudiantes del último curso del Grado en Ingeniería Civil de la Universidad Pública Vasca siguieron atentamente las explicaciones de los jefes del proyecto que Viuda de Sainz está llevando a cabo en los antiguos terrenos de la CLH, y que forma parte de otra obra urbanística mucho más compleja y ambiciosa consistente en regenerar Santurtzi y dotarle de un gran nicho educativo por su singularidad y complejidad."
"EHUko Ingeniaritza Eskolak sustaturik, Industria Elektronikaren eta Automatikaren Ingeniaritzako Gradua titulazio praktiko bat da, gure herrialdeko sektore estrategiko gehienetan eta gure ingurunean oso ezarrita dauden arloetan presentzia eta aplikazioa duena, besteak beste, daiteke, esaterako, medikuntzan, nekazaritzan, salgaiak banatzeko prozesuetan, trafikoa kudeatzeko sistemetan, energiaren produkzioan eta banaketan, etab.","Promovido por la Escuela de Ingeniería de Vitoria-Gasteiz – UPV/EHU, El Grado en Ingeniería Electrónica Industrial y Automática es una titulación práctica con presencia y aplicación en la mayoría de los sectores estratégicos de nuestro país y en áreas con una fuerte implantación en nuestro entorno, como la máquina herramienta, la industria del automóvil, aeronáutica, robótica, microelectrónica. También tiene aplicaciones en otras áreas, como es el caso de la medicina, la agricultura, los procesos de distribución de mercancías, los sistemas de gestión de tráfico, la producción y distribución de energía, etc."
Sistema Txertatuen Ingeniaritza,Ingeniería de Sistemas Empotrados
Tokia: Eibarko Ingeniaritza Industria Teknikoko Unibertsitate Eskola (1. pisuan).,"Lugar: ""Escuela Universitaria de Ingeniería Técnica Industrial de Eibar"" (aula para exámenes, 6º piso)."
Ingeniaritza Informatikoan lizentziatua da eta Informazioaren Segurtasunean Masterra du.,Licenciada en Ingeniería Informática y Máster en Seguridad de la Información.
"Bezeroarekiko kolaborazio estuan, edozein beharretara moldatzen gara, ingeniaritza pneumatikoko konponbideak edozein erronkari eskainiz.","En estrecha colaboración con el cliente, nos adaptamos a cualquier necesidad, ofreciendo soluciones de ingeniería neumática a cualquier reto."
"Ez duzu alderantzikako ingeniaritzarik egingo, ezta Softwarea deskonpilatu edo desmuntatu ere, eta ez zara iturri kodea aurkitzen saiatuko.","Usted no podrá realizar ingeniería inversa, descompilar, desensamblar ni intentar descubrir el código fuente del Software."
Gradu bikoitzaren klaseak Ekonomia eta Enpresa Fakultatean (Gasteiz) eta Gasteizko Ingeniaritza Eskolan izango dira.,El doble grado se imparte en la Facultad de Economía y Empresa (Vitoria-Gasteiz) y en la Escuela de Ingeniería de Vitoria-Gasteiz.
"Ingeniaritza, aholkularitza eta ingurumen-zerbitzuak","Ingeniería, consultoría y servicios medio ambiente"
"Ingeniaritzaren esperientzia behar medikoekin konbinatzen ditu, osasunaren zainketaren mesederako.",Combina la experiencia de la ingeniería con necesidades médicas para obtener beneficios en el cuidado de la salud.
Ekoteknologia eta Prozesu Industrialetan Ingeniaritza Gradua 60 ECTS,Grado en Ingeniería en Ecotecnología en Procesos Industriales 60 ECTS
Industria Teknologien Ingeniaritzako Gradua - Bilboko campusa >,Grado en Ingeniería en Tecnologías Industriales - Campus Bilbao >
Konputazio Ingeniaritza eta Sistema Adimentsuak,Ingeniería Computacional y Sistemas Inteligentes
Ingeniaritza Mekanikoko eta Enpresen Administrazio eta Zuzendaritzako Gradu Bikoitza - Mugikortasuna - UPV/EHU,Doble Grado en Ingeniería Mecánica y en Administración y Dirección de Empresas - Movilidad - UPV/EHU
Industria Antolaketako Goi mailako Ingeniaritza.,Ingeniería Superior en Organización Industrial.
"Datu Pertsonalei buruzko abenduaren 13ko 15/1999 Lege Organikoa betez, jakinarazten dizugu atariaren bidez ematen dituzun datuak isilpean tratatuko direla, eta Akting Ingeniaritza SLren titulartasuneko fitxategi batean sartuko direla, Datuen Babeserako Espainiar Agentzian behar bezala inskribatutakoan (www.agpd.es).","En cumplimiento de la Ley Orgánica 15/1999, de 13 de diciembre, de Protección de Datos de Carácter Personal, le informamos que los datos inscrito en la Agencia Española de Protección de Datos (www.agpd.es)."
“Ingeniaritza Mekanikoan lizentziatu nintzen Floridako Unibertsitatean.,Apuesta de futuro Conócenos Mecánica en la Universidad de Florida.
Hasiera Albisteak Txandakako IMH Ingeniaritzan proiektuen aurkezpenak,Inicio Noticias Presentación de proyectos en la Ingeniería IMH en Alternancia
Buildtonet: sustatzaileak arkitektura- eta ingeniaritza-estudioekin harremanetan jartzen dituen webgunea.,Builtonet: Sitio web que pone en contacto promotores con los estudios de arquitectura e ingeniería
"Egoitza New Hampshire (AEB) Estatuan duen Commonwealth Dynamics konpainiak goi-mailako ingeniaritza-konponbideak eskaintzen ditu industriarako, eta AEBetan, Txilen, Perun, Mexikon eta Indian lan egiten du nagusiki.","Con sede en New Hampshire (EEUU), Commonwealth Dynamics está especializada en la provisión de soluciones de alto nivel de ingeniería para la industria y centra su actividad en EEUU, Chile, Perú, México e India."
Andres Lopez Pita Kataluniako Unibertsitate Politeknikoko Trenbideetako Katedradunak eta Ingeniaritzaren Errege Akademiako kideak egin zuen aurreneko hitzaldia 1 2,"La lección inaugural fue dictada por Andrés López Pita, catedrático de la Universidad Politécnica de Catalunya y miembro de la Real Academia de Ingeniería 1 2"
Ingeniaritza: EDE Ingenieros,Ingeniería: EDE Ingenieros
"Hala, ingeniaritza-ikasleen trebakuntza eta talentuarekin duen konpromisoa berretsi du enpresak. Gehiago irakurri",Los premios Orona formación y el talento de los estudiantes de ingeniería. Leer Más
"Industria Elektronikako eta Automatikako Ingeniaritzako Graduak prestatuko zaitu elektronika, robotika, komunikazioak eta mikroprozesadoreak integratzeko, produktu eta prozesu berritzaileenen diseinuan eta sorreran, industria arloan, energia berriztagarrietan edo fabrikazio instalazioen automatizazioan, besteak beste.","El Grado en Ingeniería Electrónica Industrial y Automática te preparará para integrar la electrónica, la robótica, las comunicaciones o los microprocesadores en el diseño y construcción de productos y procesos más innovadores en el ámbito industrial, el de las energías renovables, o la automatización de plantas de fabricación, entre otros."
Informatika kudeaketan ingeniaritza teknikoa ikasi nuen Bilboko Deustoko unibertsitatean 1998 eta 2002 urteen artean.,Realicé estudios de Ingeniería técnica informática en la universidad de Deusto entre los años 1998 y 2002.
Telekomunikazio Teknologiaren Ingeniaritzako graduko ikaslea,Grado en Ingeniería de Tecnología de Minas y Energía
Ingeniaritza mekanikoa eta materialena,Ingeniería electrónica y de las comunicaciones
"Gure ezagutza guztia gure bezeroen eskura dago, ingeniaritza-zerbitzuaren bidez.",Todo nuestro conocimiento está al alcance de nuestros clientes a través de nuestro servicio de ingeniería.
Ingeniaritza eta Bioteknologia Zentroa (CIGB) Abdala garatzen ari da.,"El experto pertenecen al Centro de Ingeniería Genética y Biotecnología (CIGB), entidad que desarrolla Abdala."
Industria Diseinuko Ingeniaritza + Ingeniaritza Mekanikoa > Arau akademikoak,Ingeniería en Diseño Industrial + Ingeniería Mecánica > Gestión de calidad
"2012an lekualdatu zen eraikin berrira; zehazki, Bilboko Ingeniaritzako Goi Eskola Teknikoa zenaren aldamenera.",En el año 2012 se trasladó al nuevo edificio ubicado junto a la antigua Escuela Técnica Superior de Ingeniería de Bilbao.
"Gertaera, ingeniaritza logistikoak azken urteetan frantziako merkatuan izan duen hazkundeari esker, kooperatibak bizi duen hedapen prozesuaren baitan kokatzen da, zerbitzu “gertuagoakoa, azkarragoa eta konfiantza handiagokoa” eskaintzeko.","QUEDAN INAUGURADAS LAS NUEVAS OFICINAS DE SAN JUAN DE LUZ (FRANCIA) DE nuevas oficinas de la Cooperativa en San Juan de Luz, un acontecimiento que se enmarca dentro del proceso de expansión de la ingeniería logística gracias al crecimiento experimentado en los últimos años en el mercado francés para ofrecer un servicio “más cercano, rápido y de confianza”."
"IHURMO, Txinan ingeniaritza makineria hornitzaile batek, kalitatezko eraikuntza ekipamenduak eskaintzen ditu, baita lehen mailako zerbitzuak ere.","IHURMO, un proveedor de maquinaria de ingeniería en China, ofrece no solo equipos de construcción de calidad sino también servicios de primera clase."
Industria kimikaren Ingeniaritzako Gradua,Ingeniería Química Industrial
"ECTS kopurua: 4,5 | Titulua: BIOMEDIKAKO INGENIARITZA GRADUA","ECTS: 4,5 | Título: GRADO EN INGENIERÍA BIOMÉDICA"
"Arabako Foru Aldundiak, UPV/EHUko Gasteizko Ingeniaritza Eskolak, CTAk eta Aernnova Aerospacek sustaturik, programa honen helburua da Arabako industria-enpresen lehiakortasuna hobetzea, doktore-tesiak egiteko laguntza emanez, kasu honetan, egitura aeronautikoak fabrikatzeko teknologia aurreratuak garatzeko.","Promovido por la Diputación Foral de Álava, la Escuela de Ingeniería de Vitoria-Gasteiz – UPV/EHU, CTA y Aernnova Aerospace, el objetivo de este programa es mejorar la competitividad de las empresas industriales alavesas mediante el apoyo a la realización de tesis doctorales, en este caso, dirigidas a desarrollar tecnologías avanzadas de fabricación de estructuras aeronáuticas."
MEKANIKA INGENIARITZA SAILA,DEPARTAMENTO DE INGENIERÍA MECÁNICA
"Azaroak 23tik 26ra Aalborg Unibertsitateko UNESCOko PBL, ingeniaritza, zientzia eta iraunkortasunaren zentroko Anette Kolmos zuzendariak eman zuten Kolonbiako Unibertsitate Nazionalean.","Del 23 al 26 de noviembre la directora de PBL, ingeniería, ciencia y sostenibilidad de la UNESCO de la Universidad de Aalborg, Anette Kolmos, junto con Nestor Arana de Mondragon Unibertsitatea dieron un taller sobre Universidad Nacional de Colombia."
"Ingeniaritza zibilean emaniko aurrerapausoei esker, tamainaz eta kalitatez obra handiosak egin daitezke .",Los avances en la ingeniería civil permiten crear obras grandiosas por su tamaño y complejidad .
2019 urtarrilan eta martxoan hasten diren Ingeniaritzako programak:,Programas de formación contínua de Ingeniería que comienzan en enero y marzo 2019:
Ixaka Egurbide Ingeniaritza Dualeko Unibertsitate Eskolako Zuzendaria eta Aitor Ceciaga ikasleen 16. promozioko ordezkaria.,"Ixaka Egurbide, Director Escuela Universitaria de Ingeniería Dual y Aitor Ceciaga, delegado del alumnado de la promoción 16."
