Basque (eu),Spanish (es),Spanish_Translation
"Ingeniaritza zibilaren adar klasiko bat da egitura-ingeniaritza, eta eraikuntza-lanen eta gainerakoen egiturazko alderdia diseinatzeaz eta kalkulatzeaz arduratzen da.Helburua da egiturak funtzionalak izatea eta egokiak izatea materialen erresistentziaren ikuspegitik.Azken batean, alde praktikotik, egitura-ingeniaritza da ingurune jarraituen mekanika aplikatzea egiturazko elementu eta sistemak diseinatzeko, hala nola eraikinak, zubiak, hormak (tartean, euste-hormak), presak eta tunelak.","CÁLCULOS ESTRUCTURALES La ingeniería estructural es una rama clásica de la práctico, la ingeniería estructural es la aplicación de la mecánica de medios continuos para el diseño de elementos y sistemas estructurales tales como edificios, puentes, muros (incluyendo muros de contención), presas, túneles, etc","Una rama clásica de la ingeniería civil es la ingeniería estructural, que se encarga de diseñar y calcular el aspecto estructural de las obras y demás construcciones.El objetivo es que las estructuras sean funcionales y sean adecuadas desde el punto de vista de la resistencia de los materiales."
"Bestetik, IK4 Teknikerrek erreportaje bat argitaratuko du gure newsletterrean, zeinak 11.000 harpidedun baino gehiago dituen, talentua kudeatzeko garatzen dituen jardunbideei eta neurriei buruz. IK4 Tekniker, fabrikazio aurreratuko teknologietan, gainazalen ingeniaritzan, produktu-ingeniaritzan eta IKTetan espezializatutako zentro teknologikoa da.","Por su parte, IK4 Tekniker, centro tecnológico especializado en tecnologías de fabricación avanzada, ingeniería de superficies, ingeniería de producto y TICs, será premiada con la publicación de un reportaje en nuestra newsletter con más de 11.000 suscriptores acerca de las prácticas y medidas de gestión del talento que desarrolla en la misma.","IK4 Tekniker publicará un reportaje en nuestro newsletter, que cuenta con más de 11.000 suscriptores, sobre las líneas y medidas que desarrolla para gestionar el talento. IK4 Tekniker es un centro tecnológico especializado en tecnologías de fabricación avanzada, ingeniería de superficies, ingeniería de productos y TIC."
2. maila: Ingeniaritza Mekanikoaren eta Elektrikoaren eta softwarearen eraketaren oinarriak ezagutuko dituzu.,2º curso: conocerás los fundamentos de la Ingeniería Mecánica y Eléctrica y de la construcción de software.,"Nivel 2: Conoce las bases de la formación de la Ingeniería Mecánica, Eléctrica y Software."
"ULMA Taldeak akordio bat izenpetu du Nafarroako Unibertsitateko Ingeniaritza Eskolarekin ikasleen prestakuntzan lankidetzan aritzeko, enpresaren lehiakortasuna bultzatu eta ikasleak lan mundura hurbiltzen lagunduko duten ekintzen bitartez.",El Grupo ULMA ha firmado un acuerdo con la Escuela de Ingenieros de la Universidad de Navarra para colaborar en la formación de los estudiantes mediante el desarrollo de acciones que fomenten la competitividad de la empresa y el acercamiento de los alumnos al mundo laboral.,El Grupo ULMA ha firmado un acuerdo para colaborar con la Escuela de Ingeniería de la Universidad de Navarra en la formación del alumnado a través de acciones que promuevan la competitividad de la empresa y ayuden al alumnado a acercarse al mundo laboral.
UNIBASQeko txostena Industria Ingeniaritzako Unibertsitate Masterra,Informe UNIBASQ Grado en Ingeniería en Sistemas de Telecomunicación,Informe UNIBASQ Master Universitario en Ingeniería Industrial
"Ekonomia-finantzako Zuzendariorde Elena Bravo, Segurtasun eta Ingeniaritza Buru den Alejandro Urienekin eta Garbiketako Koordinatzailea den Ricardo Fernándezekin batera, saio hau aurkezteaz arduratu da.","La Subdirectora Económico Financiera, Elena Bravo, junto con Alejandro Urien, Jefe de Seguridad e Ingeniería y Ricardo Fernández, Coordinador de Limpieza, han sido los encargados de presentar esta sesión.","Junto con la Subdirectora de Economía Financiera Elena Bravo, Alejandro Urien, Jefe de Seguridad e Ingeniería, y el Coordinador de Limpieza, Ricardo Fernández, se ha encargado de presentar esta sesión."
UPV/EHUko Gasteizko Ingeniaritza Eskolak FANUC-ko Robodrill Zentro berria bere ekipamenduan sartu du,La Escuela de Ingenieria de Vitoria-Gasteiz UPV/EHU incorpora a su equipamiento un nuevo Centro de Mecanizado Robodrill de FANUC,La Escuela de Ingeniería de Vitoria-Gasteiz de la UPV/EHU incorpora su equipamiento al nuevo Centro Robodril del FANUC
HurrengoaKantabriako Ingeniaritza Eskolako ikasleak bisitari Bilboko Portuko erdiko kai-muturreko obretan eta harrobi zaharra egonkortzeko lanetan,SiguienteAlumnos de la Escuela de Ingeniería de Cantabria visitan las obras del espigón central y la estabilización de la antigua cantera del Puerto de Bilbao Favoritos epuertobilbao,El próximo alumnado de la Escuela de Ingeniería de Cantabria visita las obras del espigón central del Puerto de Bilbao y la consolidación de la antigua cantera
Gaia -- Hautatu gaia -- Guztiak Lanak Hirigintza Eraikingintza Eraikuntza Zaharberritzea eta ondarea Paisaia Interiorismoa Ingeniaritza eta teknologia berriak Teoria eta historia Estetika Saiakera Artea eta arkitektura Arkitektura eta gizartea Iraunkortasuna Lankidetza Sektoreko entitateak Argazkia Lanbidea Arkitektura iragankorrak Zinema eta eszenografia Bideojokoak Ilustrazioa eta komikiak Diseinua Poëte,Tema -- Seleccionar tema -- Todos Obra Urbanismo Edificación Construcción Restauración y Patrimonio Paisaje Interiorismo Ingeniería y Nuevas Tecnologías Teoría e Historia Estética Ensayo Arte y Arquitectura Arquitectura y Sociedad Sostenibilidad Cooperación Entidades del sector Fotografía Profesión Arquitecturas efímeras Cine y escenografía Videojuegos Ilustración y cómics Diseño Vivienda Acción social,Tema - Seleccione el tema - Todos Trabajos Restauración de la Construcción Urbanística y Patrimonio Ingeniería Paisaje Interior y nuevas tecnologías Estudio de Teoría e Historia Estética Arte y Arquitectura y sociedad Entidades del Sector de Cooperación para la Sostenibilidad Foto Propias Arquitecturas transitorias Cine y escenografía Videojuegos Ilustraciones y cómics Poëte
"Sail honek Ingeniaritza Goi Eskola Teknikoan dauka bere egoitza, eta Fisikaren arloko ikasgaiez arduratzen da.",Este Departamento tiene su sede en la E.T.S. de Ingenieros y tiene a su cargo las asignaturas del área de Física.,Este Departamento tiene su sede en la Escuela Técnica Superior de Ingeniería y se ocupa de las asignaturas de Física.
INGENIARITZAKO GRADUONDOEN INBESTIDURA 2018 URTEROKO INGENIARITZA ALUMNI TOPAKETA 2017,INVESTIDURA POSGRADOS INGENIERÍA 2018 ENCUENTRO ANUAL ALUMNI INGENIERÍA 2017 + fotos,INGENIERÍA DE 2018 AÑOS DE INGENIERÍA ALUMNI 2017
"Aurreko bi paragrafoetan ezarritakoa ez da aplikagarria izango NUPen 2017-2018 ikasturtea baino lehenagoko ikasturteetan matrikulatu diren ingeniaritzako eta unibertsitateko masterreko ikasleen kasuan, ikasketen amaierako lana egitea eta defenditzea baizik falta ez dutenean.",No será de aplicación para estudiantes de ingeniería y matriculados en la UPNA en cursos anteriores al 2017-2018 y que solo tengan pendiente de elaboración y defensa el trabajo fin de carrera ni para los estudiantes de Máster Universitario.,"Lo establecido en los dos párrafos anteriores no será aplicable en el caso de estudiantes de ingeniería y master universitario matriculados en el PMD en cursos anteriores al curso 2017-2018, cuando no falten más que el trabajo fin de estudios y la defensa."
"Leherketa-arriskuen analisi kualitatibo eta kuantitatiboa egiten dugu HAZOP metodologia edo Ondorioen Kalkulua erabiliz, ingeniaritzan oinarrituta (plantaren Layout diseinua, eraikuntza-ezaugarriak, …).","Analizamos cualitativa y cuantitativamente los riesgos de explosión, mediante metodología HAZOP o Cálculo de Consecuencias, en fase de ingeniería (diseño de Layout de planta, características constructivas, …).","Realizamos un análisis cualitativo y cuantitativo de los riesgos de explosión utilizando la metodología HAZOP o Cálculo de Conclusiones, basándose en la ingeniería (diseño Layoout de la planta, características constructivas, ...)."
Telekomunikazio Teknologiaren Ingeniaritzako Gradua,Grado en Ingeniería en Tecnología de Telecomunicación,Grado en Ingeniería en Tecnología de Telecomunicaciones
Azalpena Enplegu Zerbitzuaren helburua da Gipuzkoako Ingeniaritza Eskolako (GIE) tituludunak lan munduan txertatzen laguntzea.,Descripción El servicio de colocación laboral tiene como objetivo facilitar la inserción laboral de los/as titulados/as en la Escuela de Ingeniería de Gipuzkoa (EIG).,Explicación: El Servicio de Empleo tiene como objetivo contribuir a la incorporación de titulados/as en el mundo laboral de la Escuela de Ingeniería de Gipuzkoa (CEI).
"Hala eta guztiz ere, irakurritako mezuaren esaldi hori irakurri dudanean, '... Ingurumenarekin eta itsasoko babesarekin konprometituta dauden ingeniaritza-ikasle gazteei laguntzea eta itsasontzi konposite berritzaileak eraikitzea (karbono-zuntzezko papera) interes... "", zaletasuna izan nintzen"".","Sin embargo, cuando leí la oración en el correo electrónico que decía: '... para apoyar a un equipo de jóvenes estudiantes de ingeniería comprometidos con el medio ambiente y la protección de los océanos y construir barcos innovadores compuestos (uno con láminas de fibra de carbono) probablemente sería de su Interés... "", estaba enganchado"".","Sin embargo, cuando he leído esta frase del mensaje leída, he leído la pregunta de ""...comparar a jóvenes estudiantes de ingeniería comprometidos con el medio ambiente y la protección del mar y la construcción de barcos conposites innovadores (papel de carbón) ... "", fui una afición""."
Ingeniaritza Elektronikoko Gradua - UPV/EHU,Doble Grado en Física y en Ingeniería Electrónica - UPV/EHU,Grado en Ingeniería Electrónica - UPV/EHU
Ver Ingurunearen Ingeniaritzan graduatua Nafarroako Unibertsitate Publikoan URI,Graduado o Graduada en Derecho por la Universidad Pública de Navarra / URI,Graduado en Ingeniería del Medio Ver por URI en la Universidad Pública de Navarra
"PREVENORek profesionalez osatutako garrantzizko talde bat du gaur egun; profesional hauek zenbait espezialitate teknikotan daude titulatuta (ingeniaritza, laneko medikuntza, kimika eta zuzenbidea), eta guztiek Goi Mailako Teknikariak dira laneko arriskuen prebentzioaren alorrean.","PREVENOR cuenta en su plantilla con un importante equipo integrado por Profesionales Titulados en diferentes especialidades técnicas (ingeniería, medicina del trabajo, química y derecho), todos ellos Técnicos Superiores en requiera.","El PREVENOR cuenta actualmente con un equipo importante formado por profesionales, titulados en diversas especialidades técnicas (ingeniería, medicina laboral, química y derecho), todos ellos Técnicos de Alto Nivel en materia de prevención de riesgos laborales."
"Zeregin honetan badu eskarmentua, 1996an Ingeniaritza Dualaren Eskola abiatu zuen Frantziako CESI taldearekin elkarlanean.",En 1996 puso en marcha la Escuela de Ingeniería Dual en colaboración con el Grupo CESI.,"Tiene experiencia en este trabajo, en 1996 inició la Escuela de Ingeniería Dual con el grupo CESI de Francia."
"Ingeniaritza Dualaren Unibertsitate Eskolak komunikazioa aurkeztu zuen EDULEARN biltzarrean Nazioarteko hezkuntza eta teknologia uztartzen dituen nazioarteko batzar honetan UPV/EHU ordezkatuz, IMHko Ingeniaritza Dualaren Unibertsitate Eskolako arduradun pedagogikoak garatzen diharduen tesi doktoralaren komunikazioa egin zuen.","La Escuela Universitaria de Ingeniería Dual presentó su comunicación en el Congreso EDULEARN Representando a la UPV/EHU, el Diretor pedagógico de la Escuela Universitaria de Ingeniería Dual del IMH expuso la comunicación de su tesis doctoral en este congreso internacional sobre educación y tecnología.","La Escuela Universitaria de Ingeniería Dual presentó la comunicación en el congreso EDULEARN, en representación de la UPV/EHU, en representación de la UPV/EHU, en el que realizó la comunicación de la tesis doctoral que está desarrollando el responsable pedagógico de la Escuela Universitaria de Ingeniería Dual de IMH."
"Ingeniaritza lan handi honen zatiak, Fossa Corbulonis edo Korbulonen Kanala bezala ezagutzen direnak, indusketa arkeologiko batean aurkitu dira.",Partes de esta gran obra de ingeniería que se conocen como Fossa Corbulonis o Canal de Corbulón se han encontrado en una excavación arqueológica.,"Las partes de este gran trabajo de ingeniería, conocidas como Fossa Corbulonis o el Canal de Corbulón, se han encontrado en una excavación arqueológica."
"Hasierako agurraren ondoren, Ole Madsen Doktorearen hitzaldia egon zen, Aalborgeko (Danimarka) Unibertsitateko ingeniaritza mekanikoko eta fabrikazioko departamentuko irakasle-ikertzailearena. Jardunaldi honetan lankidetza-roboten inguruan hitz egin zuen eta horiek fabrikazio aurreratuko inguruneetan jokatuko duten paper zentralaren gainean.","El congreso fue inaugurado departamento de ingeniería mecánica y fabricación de la Universidad de Aalborg (Dinamarca), quien disertó sobre los robots colaborativos y el papel central que están llamados a jugar en los entornos de fabricación avanzada.","Tras la primera despedida, el Dr. Ole Madsen, profesor investigador del Departamento de Ingeniería Mecánica y Fabricación de la Universidad de Aalborg (Dinamarca), habló sobre los robots de cooperación y sobre el papel central que ellos jugarán en los entornos de fabricación avanzada."
"Ingeniaritza zibila, topografia eta eraikuntza","civil, topografía y construcción","Ingeniería Civil, Topografía y Construcción"
"Hala, ikertzeko gure modua aldatu beharrean gaude, integratu egin behar baititugu (maila berean) eragile desberdinak, gizarte zibila, zientzia guztiak (Gizadiaren, gizartearen, osasunaren, ingeniaritzaren… arlokoak badira ere).","Necesitamos cambiar nuestra manera de investigar porque tenemos que integrar (al mismo nivel) diferentes agentes, a la sociedad civil, a todas las ciencias (sean Humanas, sociales, sanitarias, ingenierías, …).","Así, tenemos que cambiar nuestro modo de investigar, ya que debemos integrar (al mismo nivel) diferentes agentes, sociedad civil, todas las ciencias (a pesar de que sean del campo de la humanidad, de la sociedad, de la salud, de la ingeniería...)."
"Gaur, urriak 7, Txandakako IMH Ingeniaritzako 14. promozioko ikasleek notak jasoko dituzte eta gaur jakin ahal izango dute ea bigarren mailara pasako diren edo ez.","Hoy, 7 de octubre, los alumnos de la 14ª promoción de la Ingeniería IMH en Alternancia recogen las notas y hoy sabrán si pasan al segudno curso o no.","Hoy, 7 de octubre, los alumnos de la 14a promoción de la Ingeniería IMH de Turno recibirán notas y hoy podrán saber si pasarán a segundo grado o no."
